Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %",season,Position_Group,PDI,processing_date,data_source,ml_features_applied
Mohammed Osman,Mohammed Osman,408406,Lamphun Warrior,Lamphun Warrior,https://cdn5.wyscout.com/photos/team/public/g27286_120x120.png,Thai League,"LCMF3, CF, AMF",LCMF3,36.0,CF,22.0,AMF,20.0,29.0,1994-01-01,350000,,21,1568,5,2.34,2,1.76,19.52,42.94,Syria,"['Syria', 'Netherlands']",right,183,75,False,4.94,5.57,54.64,1.66,31.03,0.11,0.18,0.06,1.78,2.86,1.66,3,0.17,1,0.06,3.44,0.29,4,0.23,0.13,0,0.0,42,2.41,35.71,11.905,0.11,1.32,26.09,0.4,42.86,0.92,18.75,0.17,3.44,56.67,9.24,35.4,1.15,1.84,0.34,25.83,0.6900000000000001,0.6900000000000001,35.07,81.18,9.87,68.6,8.27,93.06,30.48,86.25,3.33,55.17,19.23,33.77,0.1,1.15,0.0,0.06,1.03,27.78,0.29,5.74,74.0,2.47,48.84,1.21,23.81,0.92,0.34,5.28,82.61,83.42,11.42,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,1.66,2.01,0.46,0.0,1.61,1,100.0,2022-23,MID,55.200263039958315,2025-08-09T10:11:30.383880,simple_processor,True
S. Leeaoh,Shinnaphat Leeaoh,382729,BG Pathum United FC,Chiangrai United,https://cdn5.wyscout.com/photos/team/public/g13080_120x120.png,Thai League,"LCB3, RCMF",LCB3,66.0,RCMF,14.0,,0.0,26.0,1997-02-02,0,,25,1566,2,0.91,0,0.18,10.98,56.02,Thailand,['Thailand'],right,181,0,False,8.74,5.06,61.36,1.72,53.33,0.46,0.61,0.46,5.17,6.87,1.03,8,0.46,1,0.06,1.15,0.11,2,0.11,0.05,0,0.0,16,0.92,50.0,12.5,0.0,0.29,40.0,0.17,33.33,0.11,50.0,0.0,0.86,60.0,2.01,51.43,0.4,0.92,0.06,24.02,0.23,0.23,37.93,84.09,18.28,73.58,1.44,96.0,32.36,88.99,5.34,55.91,20.98,37.93,0.01,0.17,0.0,0.06,0.34,16.67,0.11,7.18,67.2,0.86,40.0,1.26,31.82,0.29,0.11,9.02,77.71,94.98,14.89,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,1.72,0.29,0.29,60.0,0.0,0,0.0,2022-23,DEF,52.36797565616262,2025-08-09T10:11:30.383880,simple_processor,True
L. Cohen,Lidor Cohen,205162,Trat,Khon Kaen United,https://cdn5.wyscout.com/photos/team/public/g23914_120x120.png,Thai League,"CF, LW, LAMF",CF,43.0,LW,23.0,LAMF,10.0,30.0,1992-12-16,300000,2026-06-30,23,1562,5,5.26,4,2.61,25.64,39.1,Israel,['Israel'],right,186,80,False,3.11,2.02,65.71,2.77,29.17,0.29,0.5,0.0,1.5,2.59,0.52,1,0.06,0,0.0,6.74,0.29,4,0.23,0.3,2,0.12,37,2.13,45.95,13.514,0.23,3.34,29.31,3.17,30.91,0.17,0.0,0.75,8.82,53.59,19.19,37.84,3.11,3.05,0.63,15.61,1.38,1.73,21.9,75.79,5.13,76.4,5.07,93.18,17.75,86.04,0.86,40.0,17.29,15.04,0.15,0.63,0.06,0.0,0.35,16.67,0.52,2.07,66.67,3.0,30.77,0.58,10.0,0.6900000000000001,0.98,2.94,84.31,65.12,7.43,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,2.77,0.17,0.06,0.0,0.12,2,50.0,2022-23,FWD,57.218717486066595,2025-08-09T10:11:30.383880,simple_processor,True
W. Plainum,Wattana Plainum,433706,Uthai Thani,Nong Bua Pitchaya FC,https://cdn5.wyscout.com/photos/team/public/g27287_120x120.png,Thai League,"RCB, DMF, RCMF",RCB,44.0,DMF,22.0,RCMF,13.0,33.0,1989-08-19,0,,19,1556,0,0.14,0,0.06,11.34,51.02,Thailand,['Thailand'],right,181,0,False,6.88,4.45,59.74,3.59,43.55,0.23,0.28,0.35,3.99,4.88,1.1,4,0.23,0,0.0,0.35,0.0,0,0.0,0.01,0,0.0,1,0.06,0.0,0.0,0.0,0.29,20.0,0.0,0.0,0.29,20.0,0.0,0.52,55.56,1.27,54.55,0.23,0.17,0.0,17.24,0.12,0.23,30.31,85.5,11.92,73.3,2.72,97.87,24.87,90.7,5.21,64.44,22.33,35.37,0.0,0.23,0.0,0.0,0.06,0.0,0.0,4.05,62.86,0.58,10.0,0.23,0.0,0.17,0.0,6.3,69.72,95.37,12.49,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,3.59,0.0,0.0,0.0,0.0,0,0.0,2022-23,DEF,45.30943170613431,2025-08-09T10:11:30.383880,simple_processor,True
S. Tedsungnoen,Siwarak Tedsungnoen,84813,Buriram United,Buriram United,https://cdn5.wyscout.com/photos/team/public/4517_120x120.png,Thai League,GK,GK,100.0,,0.0,,0.0,39.0,1984-04-20,150000,2025-06-30,16,1538,0,0.0,0,0.0,0.53,66.67,Thailand,['Thailand'],right,183,78,False,1.4,0.12,50.0,0.12,100.0,0.0,0.0,0.0,1.35,2.2,0.0,2,0.12,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.23,75.0,0.0,0.0,0.0,5.62,0.18,0.18,9.3,89.31,6.5,86.49,0.0,0.0,6.44,96.36,2.81,75.0,28.86,48.12,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.53,77.78,0.0,0.0,0.0,0.0,0.0,0.0,2.52,74.42,100.0,2.46,17,0.99,55,3.22,6,69.09,14.07,0.8200000000000001,-2.93,0.0,0.0,0.59,0.12,0.0,0.0,0.0,0.0,0,0.0,2022-23,GK,44.096955586476064,2025-08-09T10:11:30.383880,simple_processor,True
T. Siriphala,Thanasit Siriphala,291195,Port FC,Prachuap,https://cdn5.wyscout.com/photos/team/public/g8067_120x120.png,Thai League,"RW, RWF",RW,61.0,RWF,12.0,,0.0,27.0,1995-08-09,0,,26,1524,3,2.61,1,1.75,17.3,49.15,Thailand,['Thailand'],right,171,65,False,5.55,6.26,52.83,0.8300000000000001,21.43,0.18,0.26,0.06,2.07,2.98,1.42,4,0.24,0,0.0,4.37,0.18,3,0.18,0.15,0,0.0,23,1.36,39.13,13.043,0.06,2.54,27.91,0.06,100.0,2.48,26.19,0.24,4.13,64.29,8.33,52.48,2.3,1.95,0.77,22.09,1.89,1.24,30.3,78.95,7.8,69.7,5.61,98.95,25.39,86.98,2.42,48.78,17.88,28.01,0.1,0.94,0.06,0.0,0.71,66.67,0.59,3.9,60.61,3.78,60.94,1.54,57.69,2.01,0.71,5.91,80.0,73.33,9.74,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.8300000000000001,0.0,0.0,0.0,0.06,0,0.0,2022-23,FWD,52.01182717941468,2025-08-09T10:11:30.383880,simple_processor,True
B. Tapla,Baworn Tapla,329736,Lamphun Warrior,Lamphun Warrior,https://cdn5.wyscout.com/photos/team/public/g27286_120x120.png,Thai League,"LDMF, LCMF, RCMF",LDMF,24.0,LCMF,20.0,RCMF,19.0,35.0,1988-02-20,75000,2024-06-30,24,1524,0,0.41,0,1.67,15.47,50.0,Thailand,['Thailand'],,0,0,False,8.5,6.79,57.39,1.77,50.0,1.0,1.63,0.24,3.6,5.87,2.07,9,0.53,0,0.0,1.42,0.0,0,0.0,0.02,0,0.0,8,0.47,25.0,0.0,0.0,0.77,46.15,0.24,25.0,0.53,55.56,0.06,1.59,51.85,4.43,44.0,0.47,1.06,0.3,28.35,0.59,1.12,42.11,83.17,14.47,66.53,5.55,93.62,35.49,88.85,5.85,53.54,19.63,31.97,0.1,0.59,0.06,0.0,0.3,40.0,0.35,8.33,65.96,2.13,50.0,0.8300000000000001,42.86,0.59,0.41,7.03,74.79,92.17,16.59,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,1.77,0.24,0.0,0.0,0.41,0,0.0,2022-23,MID,46.45215264390767,2025-08-09T10:11:30.383880,simple_processor,True
N. Malapun,Nattaphon Malapun,435221,Prachuap,Prachuap,https://cdn5.wyscout.com/photos/team/public/g24607_120x120.png,Thai League,RCB,RCB,89.0,,0.0,,0.0,29.0,1994-01-10,0,,19,1522,0,0.73,1,0.43,9.82,57.23,Thailand,['Thailand'],right,0,0,False,8.16,4.43,64.0,2.66,48.89,0.12,0.17,0.71,5.2,7.52,0.59,3,0.18,1,0.06,0.06,0.0,0,0.0,0.04,0,0.0,2,0.12,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.06,0.0,0.0,0.18,33.33,0.95,37.5,0.41,0.06,0.0,18.92,0.18,0.24,32.23,86.97,14.96,80.24,1.36,95.65,27.44,93.1,4.73,52.5,21.14,33.68,0.03,0.3,0.0,0.0,0.0,0.0,0.24,5.26,74.16,0.24,25.0,0.18,0.0,0.12,0.0,7.27,73.17,94.98,12.95,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,2.66,0.0,0.0,0.0,0.0,0,0.0,2022-23,DEF,51.43026762001897,2025-08-09T10:11:30.383880,simple_processor,True
C. Buran,Chaiyawat Buran,433707,Port FC,Lamphun Warrior,https://cdn5.wyscout.com/photos/team/public/g8067_120x120.png,Thai League,LB,LB,40.0,,0.0,,0.0,26.0,1996-10-26,125000,2025-06-30,23,1522,0,1.14,2,1.09,18.39,44.05,Thailand,['Thailand'],left,177,0,False,7.45,6.39,53.7,2.01,50.0,0.41,0.61,0.06,3.61,5.29,1.36,6,0.35,2,0.12,2.25,0.0,0,0.0,0.07,0,0.0,13,0.77,23.08,0.0,0.12,1.77,26.67,1.06,22.22,0.71,33.33,0.18,3.19,48.15,7.45,39.68,1.06,1.06,0.47,15.97,0.89,1.95,24.6,72.12,9.58,67.28,4.14,78.57,20.46,80.35,2.48,33.33,17.71,28.14,0.06,0.71,0.0,0.0,0.12,50.0,0.3,3.61,63.93,1.77,36.67,0.18,33.33,0.18,0.47,5.32,74.44,72.88,6.98,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,2.01,0.35,0.06,0.0,1.06,0,0.0,2022-23,DEF,53.00466229154964,2025-08-09T10:11:30.383880,simple_processor,True
A. Waenlor,Adisak Waenlor,439199,Nong Bua Pitchaya FC,Lampang,https://cdn5.wyscout.com/photos/team/public/g27105_120x120.png,Thai League 2,"LB, LCB3",LB,47.0,LCB3,27.0,,0.0,29.0,1994-02-07,0,,19,1505,0,0.01,0,0.1,11.6,44.85,Thailand,['Thailand'],right,182,0,False,6.58,6.4,50.47,1.97,33.33,0.12,0.13,0.18,3.23,3.55,1.02,2,0.12,0,0.0,0.3,0.0,0,0.0,0.0,0,0.0,1,0.06,0.0,0.0,0.0,0.24,50.0,0.18,66.67,0.06,0.0,0.0,0.36,33.33,1.44,20.83,0.0,0.54,0.12,11.06,0.48,0.36,19.85,80.42,9.69,69.14,1.44,91.67,16.62,85.97,2.99,52.0,19.58,26.25,0.01,0.18,0.0,0.12,0.06,100.0,0.06,3.53,74.58,0.42,42.86,0.12,50.0,0.06,0.12,5.32,60.67,93.39,7.24,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,1.97,0.0,0.0,0.0,0.0,0,0.0,2022-23,DEF,48.67617364152058,2025-08-09T10:11:30.383880,simple_processor,True
A. Pumwisat,Akarapong Pumwisat,-289418,Lamphun Warrior,Lamphun Warrior,https://cdn5.wyscout.com/photos/team/public/g27286_120x120.png,Thai League,"LCMF, AMF, LCMF3",LCMF,34.0,AMF,16.0,LCMF3,10.0,27.0,1995-11-23,0,,21,1496,2,2.6,0,0.8,12.81,49.77,Thailand,['Thailand'],unknown,0,0,False,7.52,4.99,67.47,2.29,36.84,0.0,0.0,0.3,4.15,6.0,0.72,1,0.06,0,0.0,1.02,0.12,2,0.12,0.16,0,0.0,15,0.9,26.67,13.333,0.0,0.42,57.14,0.24,75.0,0.18,33.33,0.0,0.84,57.14,3.79,38.1,1.2,0.18,0.06,19.43,0.66,0.6000000000000001,27.97,87.96,10.11,79.76,4.21,94.29,26.11,90.32,1.44,54.17,14.56,20.18,0.05,0.36,0.06,0.0,0.12,50.0,0.24,4.27,83.1,0.78,46.15,0.18,33.33,0.36,0.3,4.51,81.33,94.67,9.02,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,2.29,0.0,0.0,0.0,0.0,0,0.0,2022-23,MID,51.6892864185494,2025-08-09T10:11:30.383880,simple_processor,True
W. Srisupha,Worawut Srisupha,287160,Port FC,Port FC,https://cdn5.wyscout.com/photos/team/public/g8067_120x120.png,Thai League,GK,GK,100.0,,0.0,,0.0,31.0,1992-05-25,125000,2025-06-30,15,1492,0,0.0,0,0.0,1.03,82.35,Thailand,['Thailand'],,178,65,False,1.45,0.36,50.0,0.54,100.0,0.0,0.0,0.0,1.27,2.12,0.0,1,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,100.0,0.0,0.0,0.0,4.83,0.06,0.24,11.34,86.7,6.94,79.13,0.0,0.0,7.24,98.33,4.04,67.16,31.95,44.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,46.15,0.0,0.0,0.0,0.0,0.0,0.0,3.32,76.36,100.0,3.86,20,1.21,69,4.16,4,71.01,20.67,1.25,0.67,0.04,0.0,1.81,0.54,0.0,0.0,0.0,0.0,0,0.0,2022-23,GK,45.339888136471934,2025-08-09T10:11:30.383880,simple_processor,True
T. Do,Tristan Do,195088,Muang Thong United,Bangkok United,https://cdn5.wyscout.com/photos/team/public/2860_120x120.png,Thai League,RB,RB,100.0,,0.0,,0.0,30.0,1993-01-31,250000,2025-06-30,15,1489,0,0.68,1,0.62,14.2,60.43,France,"['France', 'Thailand']",right,171,64,False,9.31,7.07,71.79,2.24,64.86,0.0,0.0,0.12,4.23,7.53,0.79,0,0.0,0,0.0,1.63,0.0,0,0.0,0.04,0,0.0,15,0.91,6.67,0.0,0.06,3.02,28.0,0.0,0.0,2.96,28.57,0.24,1.51,48.0,3.93,40.0,0.79,0.85,0.73,23.27,1.69,0.79,35.78,77.53,15.41,69.8,3.99,98.48,26.9,88.99,6.1,48.51,22.69,35.9,0.04,0.48,0.0,0.0,0.06,0.0,0.18,7.01,70.69,3.08,39.22,0.48,12.5,0.36,0.85,8.76,82.07,82.0,12.09,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,2.24,0.06,0.0,0.0,0.0,0,0.0,2022-23,DEF,55.158067636550584,2025-08-09T10:11:30.383880,simple_processor,True
Rômulo,Romulo Cabral Pereira Pinto,226431,Karlstad,Police Tero,https://cdn5.wyscout.com/photos/team/public/g-12135_120x120.png,Ettan,CF,CF,56.0,,0.0,,0.0,31.0,1991-11-02,0,2024-12-31,20,1488,2,2.93,0,0.6900000000000001,20.26,32.84,Brazil,['Brazil'],right,186,78,False,2.96,2.3,42.11,4.66,35.06,0.0,0.0,0.3,2.0,3.32,1.45,3,0.18,1,0.06,1.69,0.12,2,0.12,0.18,0,0.0,22,1.33,36.36,9.091,0.0,0.6000000000000001,10.0,0.24,25.0,0.24,0.0,0.06,1.94,50.0,9.98,26.67,2.78,0.67,0.06,18.69,1.69,1.63,26.98,73.54,8.23,58.09,5.75,91.58,24.5,76.79,1.88,51.61,16.75,22.07,0.04,0.48,0.0,0.0,1.15,15.79,0.24,4.6,63.16,1.88,29.03,1.39,21.74,0.54,0.06,3.5700000000000003,84.75,81.02,8.29,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.66,0.0,0.0,0.0,0.06,0,0.0,2022-23,FWD,44.90221698012869,2025-08-09T10:11:30.383880,simple_processor,True
A. Yodsangwal,Anam Yodsangwal,-287138,Lamphun Warrior,Lamphun Warrior,https://cdn5.wyscout.com/photos/team/public/g27286_120x120.png,Thai League,"CF, LW, LAMF",CF,44.0,LW,25.0,LAMF,10.0,21.0,2001-07-09,0,,25,1483,1,3.66,1,0.91,24.52,40.35,Thailand,['Thailand'],right,177,0,False,4.61,5.34,50.0,3.82,12.7,0.12,0.19,0.0,1.82,2.91,2.12,3,0.18,0,0.0,4.13,0.06,1,0.06,0.22,0,0.0,35,2.12,28.57,2.857,0.06,1.34,18.18,1.15,15.79,0.18,33.33,0.18,4.49,66.22,12.56,46.38,2.79,2.0,0.67,16.14,1.7000000000000002,2.18,24.03,77.27,5.28,58.62,6.8,95.54,22.09,82.14,0.67,36.36,14.38,12.28,0.06,0.85,0.0,0.0,0.79,38.46,0.3,2.55,52.38,2.25,35.14,0.61,40.0,0.85,0.24,1.94,81.25,74.23,5.89,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.82,0.0,0.0,0.0,0.12,0,0.0,2022-23,FWD,56.44015519334127,2025-08-09T10:11:30.383880,simple_processor,True
W. Sawatlakhorn,Wattanakorn Sawatlakhorn,-121241,Uthai Thani,BG Pathum United FC,https://cdn5.wyscout.com/photos/team/public/g27287_120x120.png,Thai League,LB,LB,93.0,,0.0,,0.0,25.0,1998-05-23,125000,,19,1479,0,0.13,1,1.03,12.11,45.23,Thailand,['Thailand'],left,178,0,False,5.54,5.17,54.12,1.64,25.93,0.0,0.0,0.12,2.74,4.4,0.97,2,0.12,0,0.0,2.25,0.0,0,0.0,0.01,0,0.0,3,0.18,33.33,0.0,0.06,3.47,36.84,3.41,37.5,0.06,0.0,0.49,1.28,66.67,3.71,47.54,0.18,1.7000000000000002,0.49,32.25,2.13,1.22,40.1,82.85,14.06,75.76,6.82,97.32,32.37,91.92,4.5,52.7,19.42,35.49,0.06,0.67,0.18,0.0,0.06,100.0,0.49,5.48,75.56,3.23,49.06,0.37,66.67,0.3,1.34,7.61,68.0,80.0,12.78,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,1.64,0.0,0.0,0.0,0.06,0,0.0,2022-23,DEF,48.557071733896606,2025-08-09T10:11:30.383880,simple_processor,True
C. Samphaodi,Chenrop Samphaodi,382735,Prachuap,Lamphun Warrior,https://cdn5.wyscout.com/photos/team/public/g24607_120x120.png,Thai League,CF,CF,81.0,,0.0,,0.0,28.0,1995-06-02,125000,2025-06-30,25,1478,0,2.27,0,1.21,27.46,34.37,Thailand,['Thailand'],right,178,0,False,4.14,4.8100000000000005,55.7,6.33,32.69,0.12,0.18,0.06,1.34,2.01,1.77,4,0.24,0,0.0,1.64,0.0,0,0.0,0.14,0,0.0,18,1.1,38.89,0.0,0.0,1.52,20.0,0.43,14.29,1.1,22.22,0.18,2.31,36.84,11.14,29.51,2.68,0.97,0.67,8.95,1.22,2.13,15.59,75.0,3.35,60.0,4.32,94.37,13.58,82.51,0.61,40.0,14.27,9.51,0.07,0.67,0.0,0.0,0.24,25.0,0.37,0.97,56.25,1.77,48.28,0.24,25.0,0.91,0.3,1.58,73.08,74.24,4.02,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.33,0.0,0.0,0.0,0.0,0,0.0,2022-23,FWD,52.57610608420391,2025-08-09T10:11:30.383880,simple_processor,True
L. Doumbouya,Lonsana Doumbouya,176997,Buriram United,Buriram United,https://cdn5.wyscout.com/photos/team/public/4517_120x120.png,Thai League,CF,CF,100.0,,0.0,,0.0,32.0,1990-09-26,300000,2025-06-30,16,1460,12,9.1,3,2.14,28.05,39.12,France,"['France', 'Guinea']",right,193,89,False,4.5600000000000005,4.68,53.95,7.95,48.06,0.25,0.38,0.0,1.79,2.79,1.97,1,0.06,0,0.0,3.02,0.74,8,0.49,0.56,4,0.25,44,2.71,50.0,27.273,0.18,2.03,45.45,0.18,66.67,1.85,43.33,0.18,1.73,35.71,10.54,25.73,5.18,0.8,0.37,10.11,1.85,1.48,18.92,79.48,3.08,68.0,5.05,93.9,16.27,83.71,0.62,80.0,17.41,15.14,0.13,1.11,0.0,0.0,0.25,50.0,0.62,1.73,82.14,1.11,50.0,0.18,33.33,0.8,0.99,2.34,71.05,77.67,6.35,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.95,0.0,0.0,0.0,0.0,4,100.0,2022-23,FWD,59.513732999177805,2025-08-09T10:11:30.383880,simple_processor,True
W. Clorwuttiwat,Witthawin Clorwuttiwat,287558,Lamphun Warrior,Lamphun Warrior,https://cdn5.wyscout.com/photos/team/public/g27286_120x120.png,Thai League,"CB, LCB, RCB",CB,54.0,LCB,17.0,RCB,14.0,31.0,1991-08-29,0,,17,1449,0,0.03,1,0.4,12.8,62.62,Thailand,['Thailand'],,180,75,False,11.8,6.02,72.16,4.1,56.06,0.81,1.16,0.93,6.65,9.53,0.56,5,0.31,1,0.06,0.25,0.0,0,0.0,0.0,0,0.0,1,0.06,0.0,0.0,0.06,0.06,100.0,0.0,0.0,0.06,100.0,0.06,0.19,100.0,0.62,90.0,0.25,0.25,0.0,22.67,0.06,0.62,34.91,87.19,14.41,78.45,0.81,92.31,30.56,91.67,4.29,55.07,22.79,33.64,0.02,0.19,0.0,0.0,0.0,0.0,0.06,2.36,63.16,0.12,0.0,0.06,0.0,0.0,0.06,5.9,62.11,94.76,16.58,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,4.1,0.0,0.0,0.0,0.0,0,0.0,2022-23,DEF,49.19432208041735,2025-08-09T10:11:30.383880,simple_processor,True
P. A-nan,Pokklaw A-nan,198538,Bangkok United,Bangkok United,https://cdn5.wyscout.com/photos/team/public/g8068_120x120.png,Thai League,"LDMF, LAMF",LDMF,36.0,LAMF,28.0,,0.0,32.0,1991-03-04,200000,2024-06-30,23,1434,1,1.32,2,1.29,12.49,55.28,Thailand,['Thailand'],right,180,66,False,6.34,5.08,65.43,1.51,45.83,0.06,0.12,0.06,2.95,5.44,1.07,0,0.0,0,0.0,2.26,0.06,1,0.06,0.08,0,0.0,20,1.26,50.0,5.0,0.13,1.07,35.29,0.88,28.57,0.19,66.67,0.0,1.63,57.69,4.64,47.3,1.69,1.63,0.5,34.14,1.26,1.0,43.87,85.41,13.31,81.13,7.22,93.91,39.23,88.8,3.58,63.16,19.12,24.08,0.08,1.13,0.13,0.0,0.44,71.43,0.56,7.53,75.83,2.51,60.0,0.6900000000000001,63.64,1.32,0.38,7.41,83.05,87.72,17.89,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,1.51,0.13,0.06,100.0,0.0,0,0.0,2022-23,MID,47.569382197343536,2025-08-09T10:11:30.383880,simple_processor,True
A. Jaroentham,Anisong Jaroentham,474342,Nong Bua Pitchaya FC,Lampang,https://cdn5.wyscout.com/photos/team/public/g27105_120x120.png,Thai League 2,"RCB, RCB3",RCB,66.0,RCB3,20.0,,0.0,35.0,1988-04-12,0,,21,1433,0,0.11,0,0.0,10.05,58.75,Thailand,['Thailand'],right,179,0,False,10.05,4.58,61.64,2.7,58.14,1.13,1.27,0.94,6.09,6.86,1.13,2,0.13,0,0.0,0.13,0.0,0,0.0,0.01,0,0.0,1,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,50.0,1.07,58.82,0.19,0.0,0.0,9.86,0.31,0.5,20.41,80.92,11.12,72.88,1.13,88.89,15.01,85.36,5.4,68.6,20.63,29.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14,68.0,0.25,50.0,0.19,33.33,0.13,0.0,5.97,66.32,91.67,6.03,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6900000000000001,0.0,2.7,0.0,0.0,0.0,0.0,0,0.0,2022-23,DEF,46.04771587032949,2025-08-09T10:11:30.383880,simple_processor,True
K. Linares,Kike Linares,-179680,Lamphun Warrior,Lamphun Warrior,https://cdn5.wyscout.com/photos/team/public/g27286_120x120.png,Thai League,"RCB3, RCB, RB",RCB3,47.0,RCB,29.0,RB,14.0,23.0,1999-07-12,0,,18,1429,3,1.18,0,0.02,17.45,59.57,Spain,"['Spain', 'Philippines']",,187,0,False,10.27,7.75,73.98,5.86,48.39,0.31,0.49,0.38,4.22,6.53,1.13,6,0.38,0,0.0,0.5,0.19,3,0.19,0.07,2,0.13,3,0.19,100.0,100.0,0.0,0.44,28.57,0.0,0.0,0.44,28.57,0.06,0.44,42.86,0.76,50.0,0.38,0.31,0.13,15.87,0.19,0.76,26.89,79.16,11.53,63.39,1.76,96.43,22.86,85.4,3.59,45.61,19.34,33.52,0.0,0.06,0.0,0.0,0.0,0.0,0.0,3.15,62.0,0.5,25.0,0.06,0.0,0.0,0.13,5.79,54.35,91.21,11.46,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,5.86,0.0,0.0,0.0,0.0,0,0.0,2022-23,DEF,58.04237563945308,2025-08-09T10:11:30.383880,simple_processor,True
